"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"team",21900001,"TOR",1610612761,0.548,0.4,0.729,0.556,14.082,14.8,0.476,0.543,1,0.197,"Raptors","Toronto",265,107.7,113,107.2,108.9,0.5,4.1,1.35,14.4,106.2,102.79,85.66,115,0.531
"team",21900001,"NOP",1610612740,0.698,0.271,0.6,0.444,16.696,17,0.515,0.551,1,0.197,"Pelicans","New Orleans",265,107.2,108.9,107.7,113,-0.5,-4.1,1.58,18.8,106.2,102.79,85.66,112,0.469
"team",21900002,"LAL",1610612747,0.541,0.28,0.744,0.495,14.964,15.5,0.512,0.541,1,0.196,"Lakers","Los Angeles",240,101.8,105.2,118.4,115.5,-16.7,-10.3,1.33,15.5,97.4,97,80.83,97,0.42
"team",21900002,"LAC",1610612746,0.571,0.256,0.72,0.505,14.805,14.4,0.586,0.612,1,0.199,"Clippers","LA",240,118.4,115.5,101.8,105.2,16.7,10.3,1.71,18.5,97.4,97,80.83,97,0.58
"team",21900003,"CHI",1610612741,0.51,0.404,0.727,0.545,11.249,11.5,0.51,0.545,1,0.196,"Bulls","Chicago",240,117.2,120.2,120,120,-2.8,0.2,2.08,16.5,105.86,104.5,87.08,104,0.494
"team",21900003,"CHA",1610612766,0.622,0.273,0.596,0.455,18.088,18.1,0.642,0.663,1,0.2,"Hornets","Charlotte",240,120,120,117.2,120.2,2.8,-0.2,1.47,19.7,105.86,104.5,87.08,105,0.506
"team",21900009,"WAS",1610612764,0.703,0.259,0.818,0.5,15.9,16.3,0.457,0.495,1,0.198,"Wizards","Washington",240,93.5,96.2,102.4,103.8,-8.8,-7.7,1.53,18.1,106.22,104,86.67,104,0.432
"team",21900009,"DAL",1610612742,0.486,0.182,0.741,0.5,18.954,19.2,0.533,0.597,1,0.197,"Mavericks","Dallas",240,102.4,103.8,93.5,96.2,8.8,7.7,0.85,13.3,106.22,104,86.67,104,0.568
"team",21900004,"IND",1610612754,0.634,0.26,0.725,0.467,14.346,14.6,0.506,0.552,1,0.199,"Pacers","Indiana",240,105.2,106.8,118.4,115.5,-13.2,-8.7,1.73,18.5,102.54,103,85.83,103,0.43
"team",21900004,"DET",1610612765,0.634,0.275,0.74,0.533,17.907,17.5,0.596,0.643,1,0.203,"Pistons","Detroit",240,118.4,115.5,105.2,106.8,13.2,8.7,1.44,19,102.54,103,85.83,103,0.57
